city,country,lat,lon,temp,humidity,cloudiness,wind speed
Il’inskiy,RU,55.62,38.12,71.29,77,0,2.24
Buala,SB,-8.14,159.59,80.76,82,100,13.2
Hobyo,SO,5.35,48.53,76.71,77,89,30.33
Hasaki,JP,35.73,140.83,75.69,94,20,8.05
Xaçmaz,AZ,41.46,48.81,72.09,58,9,9.01
Rosarno,IT,38.48,15.98,75.47,69,40,5.82
Camaná,PE,-16.62,-72.71,62.94,63,44,7.23
Cootamundra,AU,-34.65,148.03,46.99,64,100,10.0
Chepo,PA,9.17,-79.1,82.98,78,75,4.7
Huangzhou,CN,30.45,114.8,89.6,62,100,11.18
Mīrābād,AF,30.44,61.84,87.76,17,0,11.3
Buenaventura,CO,3.88,-77.03,82.27,78,85,7.4
Aksarka,RU,66.56,67.8,64.29,82,77,9.04
Cockburn Town,TC,21.46,-71.14,86.0,66,40,8.05
Klaksvík,FO,62.23,-6.59,53.6,100,100,13.87
Korla,CN,41.76,86.15,85.42,22,12,8.99
Ocampo,MX,21.65,-101.5,72.86,44,69,10.76
Malbork,PL,54.04,19.03,68.0,100,0,6.6
Khandyga,RU,62.67,135.6,51.6,58,0,0.22
Gravdal,NO,68.12,13.5,57.2,93,75,5.82
San Matías,BO,-16.37,-58.4,96.62,16,0,6.67
Ucluelet,CA,48.93,-125.55,60.93,77,20,19.46
Perth,AU,-31.93,115.83,47.19,81,66,6.93
Bonfim,BR,3.08,-59.95,88.54,59,30,5.55
Belyy Yar,RU,53.6,91.39,59.0,87,40,2.24
Muborak,UZ,39.26,65.15,86.22,16,0,15.1
Beringovskiy,RU,63.05,179.32,48.79,73,18,1.7
Canillo,AD,42.58,1.67,79.52,27,20,11.41
Lake Park,US,26.8,-80.07,90.68,79,75,9.17
Diré,ML,12.28,-10.97,76.15,93,100,2.44
Khovd,MN,48.01,91.64,60.55,58,79,3.04
Dharampuri,IN,22.17,75.35,81.25,82,100,6.76
Sørland,NO,67.67,12.69,55.4,93,75,11.41
Porosozero,RU,62.72,32.73,53.55,87,87,4.54
San Juan,AR,-31.54,-68.54,58.98,33,0,8.7
Nortelândia,BR,-14.45,-56.8,95.32,16,0,6.53
Linxia Chengguanzhen,CN,35.6,103.21,68.38,60,95,3.0
Flinders,AU,-34.58,150.86,51.01,77,100,4.0
Maiduguri,NG,11.85,13.16,72.75,85,98,13.2
Visby,SE,57.64,18.3,71.04,49,0,11.41
Margate,GB,51.38,1.39,73.29,56,0,1.99
Aktau,KZ,43.65,51.2,69.8,83,0,8.95
Zhangaözen,KZ,43.3,52.8,72.93,48,0,11.5
Loa Janan,ID,-0.58,117.09,74.21,98,80,2.44
Araouane,ML,18.9,-3.53,99.66,25,0,10.78
Dongsheng,CN,39.82,109.98,68.02,84,0,1.97
Elmshorn,DE,53.75,9.65,81.81,32,0,6.93
Maumere,ID,-8.62,122.21,73.35,74,21,5.93
Merauke,ID,-8.47,140.33,75.31,92,100,10.6
Köping,SE,59.51,15.99,73.11,60,0,2.24
Tabas,IR,33.6,56.92,98.6,14,0,4.7
San Luis,AR,-33.3,-66.34,54.77,38,95,14.09
Bambanglipuro,ID,-7.95,110.28,72.75,89,81,5.64
Saint-Joseph,RE,-21.37,55.62,60.49,68,40,6.93
Aklavik,CA,68.22,-135.01,59.0,87,75,10.29
Phalodi,IN,27.13,72.37,92.73,51,47,19.53
Oriximiná,BR,-1.77,-55.87,93.96,35,38,9.06
West Wendover,US,40.74,-114.07,91.4,11,1,11.41
Mandera,KE,3.94,41.87,85.39,41,8,16.8
Aasiaat,GL,68.71,-52.87,39.0,92,100,5.68
Great Falls,US,47.5,-111.3,83.16,28,1,8.05
Pangani,TZ,-5.43,38.97,74.12,81,8,8.72
Mareeba,AU,-17.0,145.43,66.13,94,75,1.66
Ayan,RU,56.45,138.17,54.05,70,0,7.83
Raymondville,US,26.48,-97.78,90.68,59,75,8.05
Menzel Salem,TN,35.86,8.48,84.2,17,0,11.41
Nisko,PL,50.52,22.14,75.09,69,0,4.7
Kambove,CD,-10.88,26.6,62.74,33,0,3.09
Qasigiannguit,GL,68.82,-51.19,42.8,87,75,2.24
Adrar,MR,20.5,-10.07,102.52,13,0,12.84
Peleduy,RU,59.63,112.74,59.23,82,54,4.81
Bonito,BR,-21.12,-56.48,90.43,17,0,4.52
Hualmay,PE,-11.1,-77.61,66.34,64,6,10.0
Pisco,PE,-13.7,-76.22,64.65,72,20,10.29
Launceston,AU,-41.45,147.17,30.87,91,2,8.05
Dukat,RU,62.55,155.55,51.64,55,31,5.75
Lata,PT,40.16,-8.33,76.87,49,0,5.01
Watertown,US,42.37,-71.18,82.98,42,40,6.93
Severnyy,RU,50.68,36.55,73.4,53,0,6.71
Puerto Quijarro,BO,-17.78,-57.77,97.18,16,0,4.9
Calhoun,US,42.25,-85.0,74.34,44,40,3.36
Mahibadhoo,MV,3.78,72.97,83.35,78,100,13.53
Ambilobe,MG,-13.2,49.05,67.12,74,43,3.06
Fort Smith,US,35.39,-94.4,87.85,52,1,10.29
Parrsboro,CA,45.4,-64.33,71.01,60,0,15.01
Bilma,NE,18.69,12.92,92.8,42,100,3.91
Kakamega,KE,0.28,34.75,63.79,88,75,18.34
Atambua,ID,-9.11,124.89,66.63,89,17,4.5
Jiwani,PK,25.05,61.74,86.79,75,100,12.93
The Valley,AI,18.22,-63.06,86.23,70,20,13.87
Bawku,GH,11.06,-0.24,80.37,68,98,6.8
Krasnosel'kup,RU,65.7,82.47,55.9,74,95,3.11
Broome,US,42.25,-75.83,74.62,57,0,1.99
Pasco,US,28.29,-82.42,91.31,72,100,1.01
Téra,NE,14.01,0.75,91.83,47,100,13.71
Brest,BY,52.1,23.7,69.24,88,37,8.77
Ōtsuki,JP,35.6,138.93,76.03,94,1,4.7
Kieta,PG,-6.22,155.63,78.71,76,39,4.09
Hofn,IS,64.25,-15.21,53.6,93,90,11.41
Graaff-Reinet,ZA,-32.25,24.53,46.99,67,66,3.22
Şarkîkaraağaç,TR,38.08,31.37,72.19,25,0,1.54
Pastavy,BY,55.12,26.83,61.88,74,0,3.09
Loreto,MX,22.27,-101.97,77.61,36,0,10.96
Saint-Louis,SN,16.33,-15.0,95.0,53,40,12.57
Esim,GH,4.87,-2.24,74.23,77,89,7.99
Requena,ES,39.49,-1.1,82.0,51,0,8.79
Henties Bay,NA,-22.12,14.28,55.99,83,0,1.01
Gazojak,TM,41.19,61.4,83.73,21,68,9.91
Basco,PH,20.45,121.97,84.81,77,97,13.31
